precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,magnitude,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check
2,US SENATE,,,TOTAL,1,PLYMOUTH,25023,ABINGTON,2502300170,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
2,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ACTON,2501700380,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
3,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ACTON,2501700380,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
6,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ACTON,2501700380,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
3,US SENATE,,,TOTAL,1,BRISTOL,25005,ACUSHNET,2500500520,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
2,US SENATE,,,TOTAL,1,BERKSHIRE,25003,ADAMS,2500300555,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,BERKSHIRE,25003,ADAMS,2500300555,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,HAMPDEN,25013,AGAWAM,2501300840,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
5,US SENATE,,,TOTAL,1,HAMPDEN,25013,AGAWAM,2501300840,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
6,US SENATE,,,TOTAL,1,HAMPDEN,25013,AGAWAM,2501300840,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
2,US SENATE,,,TOTAL,1,ESSEX,25009,AMESBURY,2500901260,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,ESSEX,25009,AMESBURY,2500901260,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
1,US SENATE,,,TOTAL,1,HAMPSHIRE,25015,AMHERST,2501501325,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,HAMPSHIRE,25015,AMHERST,2501501325,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
9,US SENATE,,,TOTAL,1,HAMPSHIRE,25015,AMHERST,2501501325,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
1,US SENATE,,,TOTAL,1,ESSEX,25009,ANDOVER,2500901465,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,ESSEX,25009,ANDOVER,2500901465,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
9,US SENATE,,,TOTAL,1,ESSEX,25009,ANDOVER,2500901465,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ARLINGTON,2501701605,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
5,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ARLINGTON,2501701605,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
12,US SENATE,,,TOTAL,1,MIDDLESEX,25017,ARLINGTON,2501701605,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
1-B,US SENATE,,,TOTAL,1,BRISTOL,25005,ATTLEBORO,2500502690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
4-A,US SENATE,,,TOTAL,1,BRISTOL,25005,ATTLEBORO,2500502690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
6-B,US SENATE,,,TOTAL,1,BRISTOL,25005,ATTLEBORO,2500502690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
1,US SENATE,,,TOTAL,1,NORFOLK,25021,AVON,2502102935,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
2,US SENATE,,,TOTAL,1,MIDDLESEX,25017,AYER,2501703005,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
5,US SENATE,,,TOTAL,1,BARNSTABLE,25001,BARNSTABLE,2500103690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
6,US SENATE,,,TOTAL,1,BARNSTABLE,25001,BARNSTABLE,2500103690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
7,US SENATE,,,TOTAL,1,BARNSTABLE,25001,BARNSTABLE,2500103690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
13,US SENATE,,,TOTAL,1,BARNSTABLE,25001,BARNSTABLE,2500103690,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
1,US SENATE,,,TOTAL,1,BERKSHIRE,25003,BECKET,2500304545,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
C,US SENATE,,,TOTAL,1,HAMPSHIRE,25015,BELCHERTOWN,2501504825,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
2,US SENATE,,,TOTAL,1,NORFOLK,25021,BELLINGHAM,2502104930,ALL OTHERS,STATEWIDE,1,SENATE,2018,GEN,MASSACHUSETTS,FALSE,FALSE,MA,25,14,3,2018-11-06,FALSE
