"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Braintree Town Precinct 5B,,5B,5B,2883,BRAINTREE,40,1.217,778.8,2012,3151712.92604,8711.93789571
Braintree Town Precinct 6A,,6A,6A,3070,BRAINTREE,40,1.994,1275.96,2012,5163667.29218,11175.56769
Braintree Town Precinct 6B,,6B,6B,2925,BRAINTREE,40,1.134,725.97,2012,2937925.30787,9455.88283716
Chelsea City Ward 1 Precinct 1,1,1,1-1,2295,CHELSEA,57,0.139,88.82,2012,359463.243235,3340.82315272
Chelsea City Ward 1 Precinct 2,1,2,1-2,2108,CHELSEA,57,0.073,47.04,2012,190350.90732,2247.88359109
Chelsea City Ward 1 Precinct 3,1,3,1-3,2268,CHELSEA,57,0.061,39.11,2012,158288.358759,1947.86160622
Chelsea City Ward 1 Precinct 4,1,4,1-4,2110,CHELSEA,57,0.275,176.02,2012,712311.874714,6290.86494544
East Bridgewater Town Precinct 1,,1,1,3450,EAST BRIDGEWATER,83,4.306,2755.9,2012,11152783.8254,13768.0762371
East Bridgewater Town Precinct 3,,3,3,3538,EAST BRIDGEWATER,83,5.051,3232.91,2012,13083172.8422,16015.8648627
East Bridgewater Town Precinct 4,,4,4,3324,EAST BRIDGEWATER,83,4.067,2603.02,2012,10534107.5614,14091.2789867
East Bridgewater Town Precinct 2,,2,2,3482,EAST BRIDGEWATER,83,4.108,2629.36,2012,10640698.0994,14662.526798
Chelsea City Ward 2 Precinct 1,2,1,2-1,2234,CHELSEA,57,0.321,205.59,2012,831979.704691,5881.52027058
Chelsea City Ward 2 Precinct 2,2,2,2-2,2097,CHELSEA,57,0.296,189.67,2012,767567.599039,4246.45231185
Chelsea City Ward 2 Precinct 3,2,3,2-3,2232,CHELSEA,57,0.043,27.23,2012,110214.139435,1668.94575493
Chelsea City Ward 2 Precinct 4,2,4,2-4,2216,CHELSEA,57,0.127,81.1,2012,328208.810094,2874.61832601
Chelsea City Ward 3 Precinct 1,3,1,3-1,2266,CHELSEA,57,0.084,53.78,2012,217635.819713,3088.87554092
Chelsea City Ward 3 Precinct 2,3,2,3-2,2104,CHELSEA,57,0.127,81.36,2012,329256.831525,2992.7534188
Chelsea City Ward 3 Precinct 3,3,3,3-3,2144,CHELSEA,57,0.052,33.13,2012,134053.122414,1789.80782513
Chelsea City Ward 3 Precinct 4,3,4,3-4,2227,CHELSEA,57,0.071,45.45,2012,183915.095774,2432.43417059
Chelsea City Ward 4 Precinct 1,4,1,4-1,2229,CHELSEA,57,0.157,100.25,2012,405688.59074,3100.17030832
Chelsea City Ward 4 Precinct 2,4,2,4-2,2204,CHELSEA,57,0.136,86.8,2012,351270.960884,2908.46704119
Chelsea City Ward 4 Precinct 3,4,3,4-3,2280,CHELSEA,57,0.129,82.52,2012,333953.009111,2836.08218479
Chelsea City Ward 4 Precinct 4,4,4,4-4,2163,CHELSEA,57,0.123,78.79,2012,318865.989557,3682.65152831
Braintree Town Precinct 3B,,3B,3B,2991,BRAINTREE,40,0.69,441.59,2012,1787063.27895,5978.23462688
Braintree Town Precinct 4A,,4A,4A,2971,BRAINTREE,40,0.504,322.31,2012,1304339.37065,7245.45307075
Braintree Town Precinct 4B,,4B,4B,2952,BRAINTREE,40,1.18,755.29,2012,3056547.93549,10973.3814687
Braintree Town Precinct 5A,,5A,5A,3069,BRAINTREE,40,0.956,611.96,2012,2476524.47676,10383.8964764
Braintree Town Precinct 1A,,1A,1A,3097,BRAINTREE,40,2.574,1647.45,2012,6667014.87125,12610.6221044
Braintree Town Precinct 1B,,1B,1B,2917,BRAINTREE,40,2.234,1429.94,2012,5786796.69586,11731.4476349
Braintree Town Precinct 2A,,2A,2A,2994,BRAINTREE,40,0.736,470.91,2012,1905719.62285,7930.19017663
Braintree Town Precinct 2B,,2B,2B,2935,BRAINTREE,40,0.692,442.8,2012,1791961.66275,6620.21093941
Braintree Town Precinct 3A,,3A,3A,2940,BRAINTREE,40,0.504,322.34,2012,1304487.36337,5022.16126603
Hopkinton Town Precinct 1,,1,1,3681,HOPKINTON,139,6.41,4102.52,2012,16602362.5029,20366.5958245
Hopkinton Town Precinct 2,,2,2,3781,HOPKINTON,139,5.907,3780.59,2012,15299566.6954,28871.4024752
Hopkinton Town Precinct 3,,3,3,3713,HOPKINTON,139,6.998,4478.94,2012,18125716.5041,29647.0358652
Hopkinton Town Precinct 4,,4,4,3750,HOPKINTON,139,8.571,5485.49,2012,22199097.5271,32170.7131826
Kingston Town Precinct 1,,1,1,3109,KINGSTON,145,1.849,1183.38,2012,4788983.20413,15171.7713492
Kingston Town Precinct 2,,2,2,3222,KINGSTON,145,7.646,4893.28,2012,19802491.9927,21722.7920541
Kingston Town Precinct 3,,3,3,3271,KINGSTON,145,4.715,3017.84,2012,12212807.8874,16684.281902
